postal_code,coordinates
62600-000,"(-3.6989154799999997, -39.57277438)"
62540-000,"(-3.273478008450704, -39.77656384225352)"
63610-000,"(-5.7416644, -39.623034)"
62500-000,"(-3.441803360869565, -39.58218624347826)"
63870-000,"(-5.11294776923077, -39.72918607692308)"
63630-000,"(21.9530545, -105.12094498311316)"
62590-000,"(-2.931691688888889, -39.86382603333333)"
62280-000,"(36.649626, -80.653169)"
62580-000,"(-2.880631933333333, -40.11986136666667)"
62150-000,"(30.62387295, 104.0779449438704)"
63660-000,"(-6.0024479799999995, -40.29545056)"
62140-000,"(-3.5144351444444446, -40.397986055555556)"
62250-000,"(-4.3266335, -40.7124096)"
63700-000,"(-5.2238203, -40.660604757142856)"
62400-000,"(-2.8976141786885248, -40.85501989180327)"
62230-000,"(-4.5341075, -40.712712)"
62380-000,"(-4.15817545, -40.77087455)"
62370-000,"(-4.0519466, -40.8658068)"
62350-000,"(30.62387295, 104.0779449438704)"
62430-000,"(-3.12020177, -40.82767196)"
62320-000,"(-3.731449388, -40.996350136000004)"
62300-000,"(-3.5365772399999997, -41.21117068)"
71625-205,"(64.2240872, 27.7334227)"
70200-001,"(34.176407, -95.029311)"
70297-400,"(-15.776967285185185, -47.87737766481481)"
72025-065,"(-15.85655035, -48.0386115)"
72110-600,"(-15.815393819999999, -48.040367460000006)"
72016-190,"(-15.8427886, -48.058274)"
29172-000,"(48.08439395, -4.3274496)"
29171-000,"(55.50123030441177, 25.03326904117647)"
29160-000,"(36.896466555555556, -4.418838155555555)"
29162-000,"(55.47187267076923, 25.180036912307692)"
29107-000,"(55.536504882352936, 25.106611870588235)"
29101-420,"(-20.3432369, -40.2879349)"
29102-020,"(-20.367514757142857, -40.30154575714286)"
29127-000,"(34.15833384243028, -81.50419096752988)"
29142-000,"(55.510671188888885, 25.08834052222222)"
29135-000,"(-20.355201520652177, -40.458353761956516)"
29780-000,"(-18.99437571369863, -40.5191084369863)"
29830-000,"(-18.6594240019084, -40.45958482061069)"
29645-000,"(-20.08915352017804, -40.77518551928784)"
29800-000,"(-18.717385598924732, -40.86403343763441)"
29360-000,"(-20.59955569243295, -41.208374954022986)"
73900-000,"(-14.3044522, -46.4914319)"
73850-000,"(-16.76834395, -47.60988685)"
73750-000,"(35.852420284615384, -97.9351840816568)"
72880-000,"(-16.110061375, -47.9313992)"
72900-000,"(-15.9458445, -48.2603467)"
72910-000,"(-15.743797540000001, -48.2771119)"
73700-000,"(-15.2611181, -48.2642963)"
76420-000,"(-14.46865835, -48.4593633)"
76400-000,"(-14.5276873, -49.14487855555556)"
75650-000,"(-17.7324253, -49.131252)"
76380-000,"(-15.327846959999999, -49.11833003333333)"
76550-000,"(-13.2303973, -50.47702095813953)"
74175-120,"(-16.707083, -49.259013)"
74465-140,"(-16.6402374, -49.3402892)"
76330-000,"(-15.75260025, -49.32522555)"
75370-000,"(-16.536337383333333, -49.40521088333333)"
75400-000,"(-16.352320533333334, -49.506106833333334)"
76630-000,"(-16.023509825, -49.80021665)"
75860-000,"(-18.449011685714286, -50.451401142857144)"
75920-000,"(-17.817343366666666, -50.60568673333333)"
75903-000,"(31.390861, -94.739579)"
75830-000,"(-17.5598815, -52.5584577)"
65570-000,"(-2.9033372857142856, -41.91913825714286)"
65580-000,"(-2.81938414, -42.3127528)"
65520-000,"(-3.6819559555555554, -42.75197516666667)"
65634-000,"(38.020828, -93.215776)"
65631-000,"(37.012835833944955, -93.43750488807339)"
65590-000,"(-2.7423489423076925, -42.82003755769231)"
65620-000,"(-4.25567860909091, -43.01516918181818)"
65530-000,"(42.8949361, -1.4583664)"
65500-000,"(-3.740131088888889, -43.354988427777776)"
65640-000,"(-5.637505404444444, -43.30011248666667)"
65430-000,"(-3.5497171, -43.91690755)"
65400-000,"(-4.456388372580645, -43.88874733225806)"
65138-000,"(-2.440704283333333, -44.127734025)"
65110-000,"(-2.543151569767442, -44.1468026627907)"
65130-000,"(-2.53651048, -44.156909625)"
65690-000,"(-6.0281574, -44.24816871666667)"
65415-000,"(-4.126988253846154, -44.124292446153845)"
65060-000,"(43.7220262, 15.9073464)"
65137-000,"(-2.5354373, -44.1712858)"
65150-000,"(-2.94313185, -44.24444998333333)"
65063-000,"(38.72611627912088, -92.08234385054945)"
65067-430,"(43.6723435, 16.0495231)"
65052-050,"(43.8109434, 16.1848638)"
65099-000,"(42.8862323, -2.0186689)"
65066-620,"(43.7046513, 16.0285784)"
65049-000,"(46.43439970471698, 30.73908090896226)"
65043-000,"(57.66474128947369, 27.226584621052627)"
65485-000,"(-3.397160475, -44.35721250833333)"
65065-000,"(46.4359148224, 30.7253837808)"
65000-000,"(-2.548090833333333, -44.2991652)"
65052-000,"(38.064423689795916, -92.71701803061224)"
65145-000,"(-3.1482926583333333, -44.32726561666667)"
65790-000,"(-5.600662, -44.36097305925926)"
65760-000,"(-5.296223588888889, -44.49534726666667)"
65495-000,"(-3.5605976, -44.576742)"
65470-000,"(-4.037280960869565, -44.46827806521739)"
65725-000,"(-4.575718872222223, -44.5964838)"
65763-000,"(-5.2588386, -44.647573)"
65700-000,"(-4.22687596, -44.78629145)"
65350-000,"(30.62387295, 104.0779449438704)"
65235-000,"(-2.700581727027027, -44.83396815675676)"
65215-000,"(-3.2114045, -44.9998824)"
65200-000,"(-2.523505276190476, -45.086752104761906)"
65715-000,"(-4.563935988888889, -45.13076097222222)"
65950-000,"(-5.503653903448276, -45.24644365517241)"
65213-000,"(-3.292319285714286, -45.174193814285715)"
65360-000,"(-3.46149755, -45.33652255)"
65208-000,"(-2.236501075, -45.304332525)"
65370-000,"(-3.61610041, -45.33889303)"
65278-000,"(31.926568, 35.039298)"
65300-000,"(-3.660463032, -45.380275144)"
65948-000,"(42.9802708, -1.3727384)"
65390-000,"(-3.968602192307692, -45.66141856153846)"
65398-000,"(-3.7785491527272725, -45.94254706545454)"
65365-000,"(-3.2843766, -45.6536659)"
65940-000,"(-5.808502438461538, -46.12762471538461)"
65393-000,"(-4.340028692929293, -46.435488057979796)"
65800-000,"(-7.538569210344827, -46.04290248275862)"
65380-000,"(-3.56754364, -45.687957360000006)"
65923-000,"(-5.4266759469879515, -46.67598764457831)"
65395-000,"(-4.480898172727272, -46.85523134545454)"
65975-000,"(-6.564438345821325, -47.44455708270893)"
65930-000,"(-4.915768844329897, -47.45391541546392)"
65900-000,"(30.62387295, 104.0779449438704)"
78652-000,"(-10.653906647058824, -51.57111475882353)"
78600-000,"(-15.888597627777779, -52.27882420925926)"
78530-000,"(48.8095808, 2.1357131)"
78850-000,"(-15.544165084000001, -54.307543544000005)"
78520-000,"(-9.951946257142856, -54.91123102857143)"
78840-000,"(-15.5586653375, -55.176599625)"
78553-000,"(53.50500284604811, 16.324286276975943)"
78890-000,"(-12.549352314285715, -55.73127967692307)"
78076-000,"(26.857156905319147, -99.18525057872341)"
78120-000,"(48.63172739709302, 1.8406585127906978)"
78450-000,"(-13.990998294117647, -56.055749135294114)"
78135-730,"(37.0427886, 35.2998684)"
78158-720,"(-15.6214476, -56.1159435)"
78455-000,"(-13.075654966666667, -55.92566151333333)"
78580-000,"(-9.884007161764705, -56.09926868823529)"
78573-000,"(14.876549149999999, 120.23270985698575)"
78390-000,"(-15.0720888, -57.179823)"
78200-000,"(-16.070023410204083, -57.6833176)"
78360-000,"(-13.659251727272729, -57.883620063636364)"
78300-000,"(-14.621175469999999, -57.48682555)"
78320-000,"(-11.416963533333332, -58.760398)"
78250-000,"(-15.23583255142857, -59.33108384)"
78335-000,"(30.62387295, 104.0779449438704)"
79500-000,"(-19.55538367777778, -51.52367227222222)"
79640-310,"(-20.78245186, -51.70478412)"
79750-000,"(-22.24384703414634, -53.354446117073174)"
79950-000,"(-23.06394110940171, -54.19702411794872)"
79130-000,"(-21.8026513, -54.5438138)"
79170-000,"(-20.9292299, -54.9576484)"
79990-000,"(-23.11019215, -55.22656795)"
79150-000,"(-21.6196163, -55.15994195)"
79900-000,"(-22.5366872, -55.730382)"
79200-000,"(-20.471875242857145, -55.79587116071428)"
39860-000,"(-17.84041619037037, -40.34550830296296)"
39900-000,"(-16.177603136363636, -40.695253990909094)"
39600-000,"(-16.86773694823009, -42.035061273451326)"
36905-000,"(45.4789938, 9.1381719)"
39550-000,"(-15.810231969387754, -42.23010305714286)"
36900-000,"(-20.255386808333334, -42.03469513333333)"
39560-000,"(-16.2047682, -42.28670845)"
